n,iteration,residual
256,99,3.157581229257719e-16
256,100,3.157581229257417e-16
256,101,3.157581229253211e-16
256,102,3.157581229194613e-16
256,103,3.157581228378279e-16
256,104,3.157581217005876e-16
256,105,3.157581058576077e-16
256,106,3.157578851531767e-16
256,107,3.157548117112980e-16
256,108,3.157122324794365e-16
256,109,3.151618142512707e-16
256,110,3.114693514302708e-16
256,111,3.080373365025402e-16
256,112,3.075667789837915e-16
256,113,3.075307857154178e-16
256,114,3.075281899372635e-16
256,115,3.075280035492927e-16
256,116,3.075279901700820e-16
256,117,3.075279892097267e-16
256,118,3.075279891407931e-16
256,119,3.075279891358451e-16
256,120,3.075279891354900e-16
256,121,3.075279891354644e-16
256,122,3.075279891354626e-16
256,123,3.075279891354625e-16
256,124,3.075279891354624e-16
256,125,3.075279891354624e-16
256,126,3.075279891354623e-16
256,127,3.075279891354605e-16
256,128,3.075279891354349e-16
